"RT @LenArt24: Zum WocheENDE mein erstes Kunstwerk #nike #justdoit #papier #grafik #gelb #grün #blau #rot #LenArt24 📷: @LenArt24 https://t.c…","0","41","positive"
"Nochmal an der frischen Luft gewesen. #run #runhappy #nike #asics #garmin #strava 

https://t.co/mFxr0wk1mV https://t.co/mFxr0wk1mV","1","0","negative"
"[ 35,78% OFF ] https://t.co/4su4ArZTkq #Nike Nike Damen Laufschuh NIKE Air Zoom Pegasus 32 W pink / grau https://t.co/8kNPZdVlMV","0","0","negative"
"RT @heilbronnpix: Einfach zu kalt für Mai 🙈 #fashion #fashionista #fashionaddict #zara #hm #pandora #adidas … https://t.co/XEQUR6Alej https…","0","1","positive"
"#Nike - Interessantes Unterstützungsniveau #börse #aktien $NKE https://t.co/JQHlSKP89d https://t.co/KdY5DJCmmi","0","0","positive"
"RT @xztals: Inter x nike x versace #nike #football #design #versace #inter #graphics #seriea #whatif https://t.co/gddbuXAciI","0","26","positive"
"Einfach zu kalt für Mai 🙈 #fashion #fashionista #fashionaddict #zara #hm #pandora #adidas … https://t.co/XEQUR6Alej https://t.co/le7FXcjHXj","0","1","positive"
"#Adidas Mini Museum Schuhe Vintage DFB Bundesliga WM 74 82 90 !!! - https://t.co/gk6Q1cDhWo https://t.co/VBXEHxLvm5","0","0","positive"
"Ursula Schmitz likes zapatoss #Geox #NorthSails #Puma #Nike #Diadora #asics https://t.co/RgMw5c0qVT https://t.co/PGVhmPD6Pe","0","0","positive"
"#Adidas Originals Kaiser 5 Liga, Men's #Football #Training - https://t.co/dbYGVhZZx1","0","0","positive"
"[ 35,78% OFF ] https://t.co/XTuTtvfAjj #Nike Nike Damen Laufschuh NIKE Air Zoom Pegasus 32 W pink / grau https://t.co/0du3KLUne5","0","0","positive"
"https://t.co/j862w3azPD #Nike 2015 DS Nike LeBron XIII Doernbecher DB","0","0","positive"
"[ 35,78% OFF ] https://t.co/vk3BojjhBl #Nike Nike Damen Laufschuh NIKE Air Zoom Pegasus 32 W pink / grau https://t.co/ncx5qvtOSK","0","0","positive"
"Kleine Feierabendrunde #run #runner #running #trailrunning #adidas #adidasrunning #polar… https://t.co/shvZgTWINK","0","0","positive"
"Bayern Home #alpaca #ps4 #bayern #munich #allianz #arena #nike #camo #tiempo #sweet #blue … https://t.co/hAokJZuAG3 https://t.co/2YWolC0BjT","0","0","positive"
"#NIKE AIR MAX Turnschuhe Sneakers Damen weiß grau Gr. 41 wie NEU - https://t.co/vJK7UpGEDV https://t.co/Fp3D8JlfJa","0","0","positive"
"#Nike Equilibrium Modern Tempo 723944-010 - #Sportbroek - #Dames - Zwart - Maat S https://t.co/Z8uqU1QNiu  #leidenmarathon","0","0","positive"
"#SNKRSHOPS <<: https://t.co/W2yQ4Jae1K :>> shop: asphaltgold.de #nike #nikeair #nikeairmax #airmax1 #TinkerHatfiel… https://t.co/5mMpzifOsf","1","0","positive"
"#Modeln im Ausland #1 - Rene​ war 45 Tage in #Istanbul! Ua. für #JACKJONES​​ und #Nike​! > https://t.co/1iw83ZESGw https://t.co/NVjH1zt8xx","1","0","positive"
"https://t.co/IH4wOG3G0N #Nike NIKE AIR FORCE 1 CMFT MOWABB SAND DUNE 685159-201 8.5","0","0","positive"
"#Apparel #Souvenirs Men's #Adidas #NewYork #Knicks #Carmelo #Anthony #Jersey XXL--54 https://t.co/BqqMjSaQNy #NBA #Auction","0","0","positive"
"RT @ishLVL: Bishxish: @UNDEFEATEDinc x #Nike Dunk Hi NL x #Sneaker x #Fashion x #Style https://t.co/lzkbwJU2Dm","0","2","positive"
"S/o @_suppastore_ für den Discount bei den #nike #presto","0","0","positive"
"[ 39,83% OFF ] https://t.co/QMCJDyh6DR #Nike Nike Pico 4 TDV Baby Jungen Lauflernschuhe https://t.co/XguAWdWlHp","0","0","positive"
"Sport mode 😎 #sport #outfit #afternoon #outfitoftheday #mirror #selfie #zara #nike #smile #specchio #sonrisa #salie… https://t.co/kNCNNW65RD","1","0","positive"
"[ 39,83% OFF ] https://t.co/i2lCzQRU5s #Nike Nike Pico 4 TDV Baby Jungen Lauflernschuhe https://t.co/76DeqH0dOh","0","0","positive"
"25% Extra-Rabatt im Adidas Outlet (ab drei Artikeln) - nur heute ► https://t.co/QvOsikxjcL #adidas #sneaker #sparen https://t.co/f5rUePeZ21","0","0","positive"
"RT @capitalMagazin: Exklusiv: Die Familie von Adi Dassler hat sich zusammengeschlossen, um sich Markenrechte schützen zu lassen #Adidas htt…","0","2","positive"
"RT @capitalMagazin: Exklusiv: Die Familie von Adi Dassler hat sich zusammengeschlossen, um sich Markenrechte schützen zu lassen #Adidas htt…","0","2","positive"
"#nike #shoes Nike Kyrie 2 LMTD ""Duke PE"" https://t.co/ghNmRRJUid #forsale #kicks","0","0","positive"
"#ootd #outfitoftheday #adidas #cap #urbanclassics #bomber #allblack #blvckfashion @ Stuttgart… https://t.co/14aXNHcH6C","0","0","positive"
"#Basketball #Shoes #Nike Zoom Soldier II Team Edition men sz 18 319407-161 zs2… https://t.co/H28MMoS5Ve #NBA #Star https://t.co/mUyeP0YiN5","0","0","positive"
